Epoch,Loss,Val_Acc
1,5.6652,0.2653
2,14.9434,0.2305
3,5.9771,0.2814
4,4.5063,0.2327
5,3.7235,0.193
6,3.2563,0.2307
7,3.0917,0.2966
8,2.927,0.3465
9,2.7359,0.3667
10,2.5829,0.4041
11,2.5549,0.4485
12,2.463,0.4635
13,2.3774,0.457
14,2.3026,0.4457
15,2.2082,0.4352
16,2.1391,0.4313
17,2.0903,0.4364
18,2.0538,0.4589
19,2.0093,0.4816
20,1.9686,0.4958
21,1.9338,0.5011
22,1.9075,0.5055
23,1.8784,0.5092
24,1.8419,0.5132
25,1.8157,0.5171
26,1.7934,0.5231
27,1.7747,0.5323
28,1.7472,0.5389
29,1.7209,0.5463
30,1.7054,0.5511
31,1.6954,0.5537
32,1.6754,0.5554
33,1.6567,0.5557
34,1.6457,0.5548
35,1.6327,0.5539
36,1.6209,0.5548
37,1.609,0.5573
38,1.5962,0.5617
39,1.5806,0.565
40,1.574,0.5655
41,1.5679,0.5648
42,1.5531,0.5651
43,1.5402,0.5675
44,1.5305,0.5695
45,1.5226,0.5717
46,1.5096,0.5721
47,1.5044,0.5722
48,1.493,0.5736
49,1.4817,0.5757
50,1.477,0.5771
51,1.4718,0.5785
52,1.4621,0.5793
53,1.4552,0.5806
54,1.4483,0.5819
55,1.4401,0.5825
56,1.4346,0.5838
57,1.4257,0.5854
58,1.4205,0.5867
59,1.4109,0.5886
60,1.4099,0.59
61,1.4011,0.5901
62,1.3942,0.5919
63,1.3898,0.5931
64,1.385,0.5949
65,1.3803,0.5963
66,1.3685,0.5976
67,1.3686,0.598
68,1.3627,0.5979
69,1.3591,0.5972
70,1.3528,0.5959
71,1.3495,0.5952
72,1.343,0.5969
73,1.3342,0.5985
74,1.3333,0.601
75,1.3262,0.6007
76,1.3182,0.5994
77,1.3188,0.5988
78,1.3135,0.5992
79,1.3088,0.6005
80,1.3037,0.6008
81,1.3007,0.601
82,1.2953,0.6019
83,1.2907,0.6029
84,1.288,0.6027
85,1.2819,0.6041
86,1.2795,0.6044
87,1.2767,0.6048
88,1.2707,0.6046
89,1.2669,0.6036
90,1.2639,0.6035
91,1.2605,0.6054
92,1.2552,0.6056
93,1.2563,0.606
94,1.2438,0.6044
95,1.2409,0.6031
96,1.2356,0.604
97,1.2319,0.6058
98,1.2311,0.6047
99,1.2254,0.6038
100,1.2215,0.6036
